state,date,sex,ethnicity,abs
Pahang,2000-01-01,male,overall,15268
Pahang,2001-01-01,male,overall,14181
Pahang,2002-01-01,male,overall,13947
Pahang,2003-01-01,male,overall,13422
Pahang,2004-01-01,male,overall,13543
Pahang,2005-01-01,male,overall,13286
Pahang,2006-01-01,male,overall,12835
Pahang,2007-01-01,male,overall,12780
Pahang,2008-01-01,male,overall,13311
Pahang,2009-01-01,male,overall,13484
Pahang,2010-01-01,male,overall,13426
Pahang,2011-01-01,male,overall,14045
Pahang,2012-01-01,male,overall,13955
Pahang,2013-01-01,male,overall,13996
Pahang,2014-01-01,male,overall,14887
Pahang,2015-01-01,male,overall,14370
Pahang,2016-01-01,male,overall,14379
Pahang,2017-01-01,male,overall,14111
Pahang,2018-01-01,male,overall,13930
Pahang,2019-01-01,male,overall,13254
Pahang,2020-01-01,male,overall,13032
Pahang,2021-01-01,male,overall,12624
Pahang,2022-01-01,male,overall,12209
Pahang,2000-01-01,female,overall,14287
Pahang,2001-01-01,female,overall,13432
Pahang,2002-01-01,female,overall,12863
Pahang,2003-01-01,female,overall,12722
Pahang,2004-01-01,female,overall,12356
Pahang,2005-01-01,female,overall,12406
Pahang,2006-01-01,female,overall,11974
Pahang,2007-01-01,female,overall,12178
Pahang,2008-01-01,female,overall,12347
Pahang,2009-01-01,female,overall,12573
Pahang,2010-01-01,female,overall,12520
Pahang,2011-01-01,female,overall,13034
Pahang,2012-01-01,female,overall,13456
Pahang,2013-01-01,female,overall,12972
Pahang,2014-01-01,female,overall,13856
Pahang,2015-01-01,female,overall,13689
Pahang,2016-01-01,female,overall,13247
Pahang,2017-01-01,female,overall,13444
Pahang,2018-01-01,female,overall,13076
Pahang,2019-01-01,female,overall,12633
Pahang,2020-01-01,female,overall,12312
Pahang,2021-01-01,female,overall,11883
Pahang,2022-01-01,female,overall,11359
Perak,2000-01-01,male,overall,24896
Perak,2001-01-01,male,overall,22408
Perak,2002-01-01,male,overall,21684
Perak,2003-01-01,male,overall,20565
Perak,2004-01-01,male,overall,20128
Perak,2005-01-01,male,overall,19161
Perak,2006-01-01,male,overall,19060
Perak,2007-01-01,male,overall,18931
Perak,2008-01-01,male,overall,19159
Perak,2009-01-01,male,overall,19096
Perak,2010-01-01,male,overall,18548
Perak,2011-01-01,male,overall,19459
Perak,2012-01-01,male,overall,19402
Perak,2013-01-01,male,overall,18294
Perak,2014-01-01,male,overall,18833
Perak,2015-01-01,male,overall,18855
Perak,2016-01-01,male,overall,18559
Perak,2017-01-01,male,overall,17953
Perak,2018-01-01,male,overall,17455
